Country Name,Country Code,Series Name,Series Code,Time,Time Code,Value
Afghanistan,AFG,Population, total,SP.POP.TOTL,2019,YR2019,37856121
Africa Eastern and Southern,AFE,Population, total,SP.POP.TOTL,2019,YR2019,675950189
Africa Western and Central,AFW,Population, total,SP.POP.TOTL,2019,YR2019,463365429
Albania,ALB,Population, total,SP.POP.TOTL,2019,YR2019,2854191
Algeria,DZA,Population, total,SP.POP.TOTL,2019,YR2019,43294546
American Samoa,ASM,Population, total,SP.POP.TOTL,2019,YR2019,50209
Andorra,AND,Population, total,SP.POP.TOTL,2019,YR2019,76474
Angola,AGO,Population, total,SP.POP.TOTL,2019,YR2019,32375632
Antigua and Barbuda,ATG,Population, total,SP.POP.TOTL,2019,YR2019,91364
Arab World,ARB,Population, total,SP.POP.TOTL,2019,YR2019,444281315
Argentina,ARG,Population, total,SP.POP.TOTL,2019,YR2019,44973465
Armenia,ARM,Population, total,SP.POP.TOTL,2019,YR2019,2962500
Aruba,ABW,Population, total,SP.POP.TOTL,2019,YR2019,109203
Australia,AUS,Population, total,SP.POP.TOTL,2019,YR2019,25334826
Austria,AUT,Population, total,SP.POP.TOTL,2019,YR2019,8879920
Azerbaijan,AZE,Population, total,SP.POP.TOTL,2019,YR2019,10024283
Bahamas, The,BHS,Population, total,SP.POP.TOTL,2019,YR2019,394675
Bahrain,BHR,Population, total,SP.POP.TOTL,2019,YR2019,1483756
Bangladesh,BGD,Population, total,SP.POP.TOTL,2019,YR2019,164913055
Barbados,BRB,Population, total,SP.POP.TOTL,2019,YR2019,281207
Belarus,BLR,Population, total,SP.POP.TOTL,2019,YR2019,9419758
Belgium,BEL,Population, total,SP.POP.TOTL,2019,YR2019,11488980
Belize,BLZ,Population, total,SP.POP.TOTL,2019,YR2019,385829
Benin,BEN,Population, total,SP.POP.TOTL,2019,YR2019,12726755
Bermuda,BMU,Population, total,SP.POP.TOTL,2019,YR2019,64107
Bhutan,BTN,Population, total,SP.POP.TOTL,2019,YR2019,764824
Bolivia,BOL,Population, total,SP.POP.TOTL,2019,YR2019,11671386
Bosnia and Herzegovina,BIH,Population, total,SP.POP.TOTL,2019,YR2019,3345533
Botswana,BWA,Population, total,SP.POP.TOTL,2019,YR2019,2332083
Brazil,BRA,Population, total,SP.POP.TOTL,2019,YR2019,207455459
British Virgin Islands,VGB,Population, total,SP.POP.TOTL,2019,YR2019,36395
Brunei Darussalam,BRN,Population, total,SP.POP.TOTL,2019,YR2019,442680
Bulgaria,BGR,Population, total,SP.POP.TOTL,2019,YR2019,6616726
Burkina Faso,BFA,Population, total,SP.POP.TOTL,2019,YR2019,20961952
Burundi,BDI,Population, total,SP.POP.TOTL,2019,YR2019,12255336
Cabo Verde,CPV,Population, total,SP.POP.TOTL,2019,YR2019,514104
Cambodia,KHM,Population, total,SP.POP.TOTL,2019,YR2019,16481304
Cameroon,CMR,Population, total,SP.POP.TOTL,2019,YR2019,25506095
Canada,CAN,Population, total,SP.POP.TOTL,2019,YR2019,37618495
Caribbean small states,CSS,Population, total,SP.POP.TOTL,2019,YR2019,4443134
Cayman Islands,CYM,Population, total,SP.POP.TOTL,2019,YR2019,67327
Central African Republic,CAF,Population, total,SP.POP.TOTL,2019,YR2019,4944703
Central Europe and the Baltics,CEB,Population, total,SP.POP.TOTL,2019,YR2019,101864274
Chad,TCD,Population, total,SP.POP.TOTL,2019,YR2019,16685223
Channel Islands,CHI,Population, total,SP.POP.TOTL,2019,YR2019,165639
Chile,CHL,Population, total,SP.POP.TOTL,2019,YR2019,19197744
China,CHN,Population, total,SP.POP.TOTL,2019,YR2019,1407745000
Colombia,COL,Population, total,SP.POP.TOTL,2019,YR2019,49907985
Comoros,COM,Population, total,SP.POP.TOTL,2019,YR2019,786578
Congo, Dem. Rep.,COD,Population, total,SP.POP.TOTL,2019,YR2019,92947442
Congo, Rep.,COG,Population, total,SP.POP.TOTL,2019,YR2019,5616661
Costa Rica,CRI,Population, total,SP.POP.TOTL,2019,YR2019,4999553
Cote d'Ivoire,CIV,Population, total,SP.POP.TOTL,2019,YR2019,28193009
Croatia,HRV,Population, total,SP.POP.TOTL,2019,YR2019,3949390
Cuba,CUB,Population, total,SP.POP.TOTL,2019,YR2019,11202846
Curacao,CUW,Population, total,SP.POP.TOTL,2019,YR2019,157441
Cyprus,CYP,Population, total,SP.POP.TOTL,2019,YR2019,1286671
Czechia,CZE,Population, total,SP.POP.TOTL,2019,YR2019,10671870
Denmark,DNK,Population, total,SP.POP.TOTL,2019,YR2019,5814422
Djibouti,DJI,Population, total,SP.POP.TOTL,2019,YR2019,1088709
Dominica,DMA,Population, total,SP.POP.TOTL,2019,YR2019,67880
Dominican Republic,DOM,Population, total,SP.POP.TOTL,2019,YR2019,10894043
Early-demographic dividend,EAR,Population, total,SP.POP.TOTL,2019,YR2019,3355014793
East Asia & Pacific,EAS,Population, total,SP.POP.TOTL,2019,YR2019,2359771090
East Asia & Pacific (excluding high income),EAP,Population, total,SP.POP.TOTL,2019,YR2019,2112289891
East Asia & Pacific (IDA & IBRD countries),TEA,Population, total,SP.POP.TOTL,2019,YR2019,2086281644
Ecuador,ECU,Population, total,SP.POP.TOTL,2019,YR2019,17340021
Egypt, Arab Rep.,EGY,Population, total,SP.POP.TOTL,2019,YR2019,107553158
El Salvador,SLV,Population, total,SP.POP.TOTL,2019,YR2019,6222318
Equatorial Guinea,GNQ,Population, total,SP.POP.TOTL,2019,YR2019,1670177
Eritrea,ERI,Population, total,SP.POP.TOTL,2019,YR2019,3240194
Estonia,EST,Population, total,SP.POP.TOTL,2019,YR2019,1326898
Eswatini,SWZ,Population, total,SP.POP.TOTL,2019,YR2019,1179874
Ethiopia,ETH,Population, total,SP.POP.TOTL,2019,YR2019,115737383
Euro area,EMU,Population, total,SP.POP.TOTL,2019,YR2019,346496601
Europe & Central Asia,ECS,Population, total,SP.POP.TOTL,2019,YR2019,922218554
Europe & Central Asia (excluding high income),ECA,Population, total,SP.POP.TOTL,2019,YR2019,248863066
Europe & Central Asia (IDA & IBRD countries),TEC,Population, total,SP.POP.TOTL,2019,YR2019,462219596
European Union,EUU,Population, total,SP.POP.TOTL,2019,YR2019,446910453
Faroe Islands,FRO,Population, total,SP.POP.TOTL,2019,YR2019,51793
Fiji,FJI,Population, total,SP.POP.TOTL,2019,YR2019,914899
Finland,FIN,Population, total,SP.POP.TOTL,2019,YR2019,5521606
Fragile and conflict affected situations,FCS,Population, total,SP.POP.TOTL,2019,YR2019,973035228
France,FRA,Population, total,SP.POP.TOTL,2019,YR2019,67382061
French Polynesia,PYF,Population, total,SP.POP.TOTL,2019,YR2019,279034
Gabon,GAB,Population, total,SP.POP.TOTL,2019,YR2019,2267706
Gambia, The,GMB,Population, total,SP.POP.TOTL,2019,YR2019,2456844
Georgia,GEO,Population, total,SP.POP.TOTL,2019,YR2019,3720161
Germany,DEU,Population, total,SP.POP.TOTL,2019,YR2019,83092962
Ghana,GHA,Population, total,SP.POP.TOTL,2019,YR2019,31258945
Gibraltar,GIB,Population, total,SP.POP.TOTL,2019,YR2019,35494
Greece,GRC,Population, total,SP.POP.TOTL,2019,YR2019,10721582
Greenland,GRL,Population, total,SP.POP.TOTL,2019,YR2019,56225
Grenada,GRD,Population, total,SP.POP.TOTL,2019,YR2019,115981
Guam,GUM,Population, total,SP.POP.TOTL,2019,YR2019,161808
Guatemala,GTM,Population, total,SP.POP.TOTL,2019,YR2019,17103803
Guinea,GIN,Population, total,SP.POP.TOTL,2019,YR2019,13034346
Guinea-Bissau,GNB,Population, total,SP.POP.TOTL,2019,YR2019,1967696
Guyana,GUY,Population, total,SP.POP.TOTL,2019,YR2019,807665
Haiti,HTI,Population, total,SP.POP.TOTL,2019,YR2019,11105163
Heavily indebted poor countries (HIPC),HPC,Population, total,SP.POP.TOTL,2019,YR2019,824649053
High income,HIC,Population, total,SP.POP.TOTL,2019,YR2019,1389779202
Honduras,HND,Population, total,SP.POP.TOTL,2019,YR2019,9943633
Hong Kong SAR, China,HKG,Population, total,SP.POP.TOTL,2019,YR2019,7507900
Hungary,HUN,Population, total,SP.POP.TOTL,2019,YR2019,9694824
IBRD only,IBD,Population, total,SP.POP.TOTL,2019,YR2019,4845361414
Iceland,ISL,Population, total,SP.POP.TOTL,2019,YR2019,360563
IDA & IBRD total,IBT,Population, total,SP.POP.TOTL,2019,YR2019,6594502842
IDA blend,IDB,Population, total,SP.POP.TOTL,2019,YR2019,614017319
IDA only,IDX,Population, total,SP.POP.TOTL,2019,YR2019,1135124109
IDA total,IDA,Population, total,SP.POP.TOTL,2019,YR2019,1749141428
India,IND,Population, total,SP.POP.TOTL,2019,YR2019,1389030312
Indonesia,IDN,Population, total,SP.POP.TOTL,2019,YR2019,272489381
Iran, Islamic Rep.,IRN,Population, total,SP.POP.TOTL,2019,YR2019,87051648
Iraq,IRQ,Population, total,SP.POP.TOTL,2019,YR2019,41192171
Ireland,IRL,Population, total,SP.POP.TOTL,2019,YR2019,4976456
Isle of Man,IMN,Population, total,SP.POP.TOTL,2019,YR2019,83957
Israel,ISR,Population, total,SP.POP.TOTL,2019,YR2019,9054000
Italy,ITA,Population, total,SP.POP.TOTL,2019,YR2019,59729081
Jamaica,JAM,Population, total,SP.POP.TOTL,2019,YR2019,2823271
Japan,JPN,Population, total,SP.POP.TOTL,2019,YR2019,126633000
Jordan,JOR,Population, total,SP.POP.TOTL,2019,YR2019,10671891
Kazakhstan,KAZ,Population, total,SP.POP.TOTL,2019,YR2019,19209555
Kenya,KEN,Population, total,SP.POP.TOTL,2019,YR2019,51202827
Kiribati,KIR,Population, total,SP.POP.TOTL,2019,YR2019,123921
Korea, Dem. People's Rep.,PRK,Population, total,SP.POP.TOTL,2019,YR2019,26037632
Korea, Rep.,KOR,Population, total,SP.POP.TOTL,2019,YR2019,51764822
